trial_num,context_id,is_old,target_pos,target_shape,distractors
390,new_ctx_49272,False,"(7, 5)",T_right,"[((9, 0), 'L_up'), ((2, 2), 'L_right'), ((2, 6), 'L_right'), ((6, 2), 'L_down'), ((0, 4), 'L_right'), ((9, 3), 'L_left'), ((5, 7), 'L_down'), ((0, 0), 'L_right'), ((9, 7), 'L_down'), ((4, 0), 'L_up'), ((4, 4), 'L_left')]"
433,new_ctx_56210,False,"(1, 3)",T_left,"[((6, 0), 'L_down'), ((7, 5), 'L_up'), ((3, 5), 'L_down'), ((9, 0), 'L_left'), ((3, 0), 'L_right'), ((5, 3), 'L_up'), ((0, 0), 'L_right'), ((9, 7), 'L_right'), ((0, 6), 'L_down'), ((5, 7), 'L_right'), ((9, 3), 'L_up')]"
675,new_ctx_94087,False,"(4, 7)",T_right,"[((0, 2), 'L_up'), ((5, 0), 'L_up'), ((7, 2), 'L_right'), ((2, 5), 'L_right'), ((6, 5), 'L_down'), ((4, 3), 'L_up'), ((9, 0), 'L_right'), ((2, 0), 'L_down'), ((9, 4), 'L_right'), ((8, 7), 'L_up'), ((0, 7), 'L_down')]"
110,old_ctx_3,True,"(2, 2)",T_right,"[((0, 5), 'L_down'), ((7, 5), 'L_down'), ((6, 2), 'L_down'), ((9, 3), 'L_down'), ((5, 7), 'L_left'), ((0, 0), 'L_down'), ((4, 4), 'L_right'), ((2, 7), 'L_left'), ((8, 0), 'L_up'), ((4, 0), 'L_right'), ((9, 7), 'L_right')]"
555,new_ctx_73038,False,"(3, 2)",T_left,"[((2, 5), 'L_down'), ((8, 7), 'L_right'), ((9, 0), 'L_left'), ((5, 4), 'L_left'), ((5, 7), 'L_left'), ((1, 0), 'L_left'), ((5, 0), 'L_up'), ((9, 4), 'L_left'), ((0, 3), 'L_up'), ((7, 2), 'L_up'), ((0, 7), 'L_down')]"
277,old_ctx_9,True,"(6, 0)",T_left,"[((3, 0), 'L_up'), ((7, 5), 'L_left'), ((9, 3), 'L_down'), ((2, 5), 'L_up'), ((4, 7), 'L_right'), ((5, 3), 'L_down'), ((0, 7), 'L_left'), ((0, 0), 'L_left'), ((9, 7), 'L_up'), ((9, 0), 'L_left'), ((0, 3), 'L_down')]"
12,old_ctx_0,True,"(9, 4)",T_left,"[((0, 6), 'L_up'), ((3, 1), 'L_left'), ((3, 7), 'L_left'), ((0, 0), 'L_left'), ((6, 3), 'L_down'), ((3, 4), 'L_down'), ((9, 1), 'L_up'), ((6, 6), 'L_up'), ((9, 7), 'L_right'), ((0, 3), 'L_left'), ((6, 0), 'L_down')]"
325,old_ctx_10,True,"(0, 0)",T_right,"[((3, 7), 'L_right'), ((9, 1), 'L_right'), ((3, 0), 'L_right'), ((6, 6), 'L_right'), ((0, 3), 'L_right'), ((6, 3), 'L_down'), ((9, 7), 'L_up'), ((3, 4), 'L_right'), ((6, 0), 'L_up'), ((9, 4), 'L_left'), ((0, 7), 'L_down')]"
513,new_ctx_58805,False,"(0, 5)",T_right,"[((6, 7), 'L_up'), ((2, 3), 'L_right'), ((4, 5), 'L_right'), ((9, 2), 'L_right'), ((9, 6), 'L_down'), ((5, 2), 'L_right'), ((0, 0), 'L_up'), ((7, 0), 'L_left'), ((7, 4), 'L_left'), ((3, 0), 'L_right'), ((2, 7), 'L_down')]"
63,old_ctx_2,True,"(3, 5)",T_right,"[((0, 3), 'L_up'), ((9, 0), 'L_down'), ((7, 5), 'L_left'), ((5, 3), 'L_up'), ((0, 0), 'L_down'), ((6, 0), 'L_right'), ((9, 3), 'L_up'), ((9, 7), 'L_right'), ((0, 6), 'L_left'), ((3, 1), 'L_down'), ((5, 7), 'L_up')]"
657,new_ctx_89900,False,"(3, 3)",T_left,"[((6, 7), 'L_up'), ((9, 3), 'L_down'), ((0, 6), 'L_up'), ((6, 3), 'L_right'), ((6, 0), 'L_right'), ((0, 3), 'L_left'), ((9, 7), 'L_down'), ((3, 7), 'L_left'), ((0, 0), 'L_down'), ((3, 0), 'L_right'), ((9, 0), 'L_down')]"
472,new_ctx_49514,False,"(0, 4)",T_left,"[((2, 2), 'L_left'), ((8, 0), 'L_down'), ((7, 5), 'L_down'), ((4, 7), 'L_down'), ((0, 0), 'L_right'), ((6, 2), 'L_right'), ((0, 7), 'L_right'), ((4, 0), 'L_right'), ((4, 4), 'L_left'), ((9, 7), 'L_left'), ((9, 3), 'L_up')]"
387,new_ctx_45485,False,"(0, 0)",T_right,"[((0, 4), 'L_left'), ((7, 2), 'L_down'), ((3, 6), 'L_right'), ((9, 4), 'L_left'), ((9, 0), 'L_down'), ((3, 2), 'L_left'), ((6, 7), 'L_left'), ((5, 4), 'L_down'), ((0, 7), 'L_left'), ((9, 7), 'L_down'), ((5, 0), 'L_down')]"
622,new_ctx_78914,False,"(6, 7)",T_left,"[((7, 2), 'L_left'), ((3, 2), 'L_left'), ((0, 6), 'L_left'), ((3, 6), 'L_down'), ((9, 7), 'L_right'), ((5, 0), 'L_up'), ((9, 0), 'L_left'), ((5, 4), 'L_right'), ((9, 4), 'L_up'), ((0, 3), 'L_right'), ((1, 0), 'L_up')]"
613,new_ctx_36555,False,"(0, 7)",T_right,"[((6, 6), 'L_up'), ((8, 4), 'L_right'), ((4, 4), 'L_left'), ((2, 2), 'L_down'), ((0, 4), 'L_left'), ((9, 1), 'L_up'), ((6, 2), 'L_up'), ((4, 0), 'L_up'), ((9, 7), 'L_down'), ((0, 0), 'L_right'), ((3, 7), 'L_left')]"
449,new_ctx_93758,False,"(7, 1)",T_right,"[((7, 5), 'L_left'), ((3, 5), 'L_right'), ((9, 7), 'L_right'), ((2, 2), 'L_left'), ((1, 7), 'L_right'), ((5, 7), 'L_left'), ((4, 0), 'L_up'), ((5, 3), 'L_right'), ((0, 0), 'L_right'), ((0, 4), 'L_right'), ((9, 3), 'L_down')]"
564,new_ctx_25729,False,"(0, 4)",T_left,"[((3, 0), 'L_right'), ((6, 6), 'L_down'), ((6, 0), 'L_right'), ((3, 3), 'L_down'), ((0, 1), 'L_down'), ((3, 7), 'L_up'), ((9, 3), 'L_left'), ((0, 7), 'L_right'), ((9, 7), 'L_left'), ((6, 3), 'L_right'), ((9, 0), 'L_up')]"
573,new_ctx_79070,False,"(9, 0)",T_right,"[((0, 7), 'L_right'), ((6, 0), 'L_down'), ((3, 3), 'L_right'), ((0, 3), 'L_up'), ((9, 4), 'L_right'), ((3, 0), 'L_left'), ((3, 7), 'L_left'), ((9, 7), 'L_left'), ((6, 4), 'L_down'), ((0, 0), 'L_left'), ((6, 7), 'L_left')]"
183,old_ctx_6,True,"(9, 2)",T_left,"[((9, 7), 'L_left'), ((4, 5), 'L_up'), ((5, 2), 'L_right'), ((0, 5), 'L_down'), ((0, 1), 'L_down'), ((7, 4), 'L_right'), ((3, 0), 'L_right'), ((7, 0), 'L_right'), ((2, 3), 'L_left'), ((6, 7), 'L_left'), ((2, 7), 'L_down')]"
207,old_ctx_6,True,"(9, 2)",T_left,"[((9, 7), 'L_left'), ((4, 5), 'L_up'), ((5, 2), 'L_right'), ((0, 5), 'L_down'), ((0, 1), 'L_down'), ((7, 4), 'L_right'), ((3, 0), 'L_right'), ((7, 0), 'L_right'), ((2, 3), 'L_left'), ((6, 7), 'L_left'), ((2, 7), 'L_down')]"
411,new_ctx_36241,False,"(3, 7)",T_left,"[((4, 2), 'L_up'), ((0, 2), 'L_left'), ((6, 4), 'L_down'), ((9, 7), 'L_down'), ((9, 1), 'L_up'), ((0, 6), 'L_down'), ((9, 4), 'L_right'), ((6, 0), 'L_left'), ((6, 7), 'L_left'), ((2, 4), 'L_down'), ((2, 0), 'L_left')]"
